Datetime,Open,High,Low,Close,Volume
2026-04-16 13:30:00+00:00,92.51000213623047,92.55500030517578,91.41000366210938,91.41000366210938,533634
2026-04-16 13:31:00+00:00,91.4135971069336,91.66000366210938,90.92250061035156,91.31999969482422,59085
2026-04-16 13:32:00+00:00,91.26000213623047,91.5,90.81999969482422,91.5,56552
2026-04-16 13:33:00+00:00,91.5199966430664,92.19000244140625,91.5199966430664,91.88999938964844,87160
2026-04-16 13:34:00+00:00,91.94999694824219,92.33000183105469,91.87999725341797,92.26499938964844,83730
2026-04-16 13:35:00+00:00,92.26000213623047,92.33000183105469,91.85780334472656,91.87999725341797,33088
2026-04-16 13:36:00+00:00,91.75990295410156,91.9260025024414,91.69000244140625,91.76000213623047,34964
2026-04-16 13:37:00+00:00,91.71800231933594,92.13500213623047,91.71800231933594,92.13040161132812,31310
2026-04-16 13:38:00+00:00,92.16000366210938,92.4800033569336,92.12000274658203,92.2699966430664,27699
2026-04-16 13:39:00+00:00,92.2699966430664,92.30999755859375,91.83000183105469,91.88999938964844,31184
2026-04-16 13:40:00+00:00,91.91000366210938,92.33989715576172,91.82499694824219,92.33989715576172,40084
2026-04-16 13:41:00+00:00,92.3499984741211,92.46929931640625,91.66500091552734,91.69999694824219,66158
2026-04-16 13:42:00+00:00,91.75,91.75,91.33999633789062,91.5999984741211,39509
2026-04-16 13:43:00+00:00,91.48999786376953,91.68499755859375,91.43000030517578,91.63999938964844,16250
2026-04-16 13:44:00+00:00,91.72000122070312,92.0801010131836,91.69010162353516,92.05999755859375,39492
2026-04-16 13:45:00+00:00,92.08000183105469,92.22000122070312,91.95999908447266,92.18499755859375,22846
2026-04-16 13:46:00+00:00,92.13500213623047,92.13500213623047,91.87999725341797,91.9749984741211,21341
2026-04-16 13:47:00+00:00,92.0,92.20500183105469,91.9800033569336,92.05030059814453,10271
2026-04-16 13:48:00+00:00,92.0999984741211,92.12000274658203,91.9000015258789,92.05999755859375,40532
2026-04-16 13:49:00+00:00,92.04499816894531,92.27999877929688,92.0,92.18499755859375,29936
2026-04-16 13:50:00+00:00,92.08999633789062,92.11000061035156,91.94000244140625,92.0199966430664,19980
2026-04-16 13:51:00+00:00,92.04000091552734,92.0999984741211,91.45999908447266,91.51000213623047,31091
2026-04-16 13:52:00+00:00,91.58000183105469,91.71499633789062,91.37000274658203,91.45999908447266,34709
2026-04-16 13:53:00+00:00,91.4800033569336,91.53990173339844,91.25,91.3009033203125,31130
2026-04-16 13:54:00+00:00,91.32499694824219,91.43000030517578,90.98999786376953,91.06500244140625,52258
2026-04-16 13:55:00+00:00,91.04029846191406,91.33499908447266,91.04029846191406,91.33499908447266,35286
2026-04-16 13:56:00+00:00,91.41000366210938,91.69999694824219,91.3499984741211,91.69999694824219,30640
2026-04-16 13:57:00+00:00,91.69999694824219,91.71990203857422,91.43000030517578,91.5199966430664,21444
2026-04-16 13:58:00+00:00,91.55999755859375,91.69000244140625,91.55999755859375,91.65499877929688,19461
2026-04-16 13:59:00+00:00,91.8499984741211,91.8499984741211,91.69000244140625,91.69000244140625,32807
2026-04-16 14:00:00+00:00,91.66999816894531,91.75499725341797,91.58999633789062,91.62000274658203,16104
2026-04-16 14:01:00+00:00,91.62999725341797,91.62999725341797,91.38999938964844,91.54989624023438,18388
2026-04-16 14:02:00+00:00,91.5999984741211,91.86000061035156,91.58000183105469,91.81999969482422,24521
2026-04-16 14:03:00+00:00,91.83000183105469,92.0999984741211,91.83000183105469,92.0999984741211,81762
2026-04-16 14:04:00+00:00,92.16999816894531,92.37000274658203,92.12010192871094,92.29000091552734,14402
2026-04-16 14:05:00+00:00,92.29000091552734,92.29000091552734,92.08999633789062,92.22000122070312,9749
2026-04-16 14:06:00+00:00,92.30069732666016,92.47989654541016,92.26399993896484,92.41999816894531,22897
2026-04-16 14:07:00+00:00,92.4000015258789,92.55030059814453,92.33999633789062,92.54989624023438,29945
2026-04-16 14:08:00+00:00,92.54930114746094,92.54930114746094,92.29000091552734,92.44999694824219,20761
2026-04-16 14:09:00+00:00,92.44000244140625,92.45999908447266,92.37999725341797,92.37999725341797,10473
2026-04-16 14:10:00+00:00,92.39990234375,92.45999908447266,92.3499984741211,92.36499786376953,16582
2026-04-16 14:11:00+00:00,92.40499877929688,92.47000122070312,92.23500061035156,92.30999755859375,24689
2026-04-16 14:12:00+00:00,92.2300033569336,92.43000030517578,92.19000244140625,92.40499877929688,25384
2026-04-16 14:13:00+00:00,92.40989685058594,92.63990020751953,92.40989685058594,92.51499938964844,22408
2026-04-16 14:14:00+00:00,92.42500305175781,92.42500305175781,92.20999908447266,92.30500030517578,16124
2026-04-16 14:15:00+00:00,92.375,92.375,92.19999694824219,92.19999694824219,13363
2026-04-16 14:16:00+00:00,92.19499969482422,92.30000305175781,92.11000061035156,92.16000366210938,10830
2026-04-16 14:17:00+00:00,92.12999725341797,92.12999725341797,91.86000061035156,91.93000030517578,38853
2026-04-16 14:18:00+00:00,91.91999816894531,92.23500061035156,91.8499984741211,92.20989990234375,24966
2026-04-16 14:19:00+00:00,92.20999908447266,92.25849914550781,92.19249725341797,92.25849914550781,13101
2026-04-16 14:20:00+00:00,92.2500991821289,92.32499694824219,92.21499633789062,92.29000091552734,21812
2026-04-16 14:21:00+00:00,92.39009857177734,92.44000244140625,92.37000274658203,92.42009735107422,16929
2026-04-16 14:22:00+00:00,92.42009735107422,92.42009735107422,92.21009826660156,92.21009826660156,10819
2026-04-16 14:23:00+00:00,92.19999694824219,92.19999694824219,92.0,92.11499786376953,15411
2026-04-16 14:24:00+00:00,92.13089752197266,92.30000305175781,92.13089752197266,92.30000305175781,18297
2026-04-16 14:25:00+00:00,92.2531967163086,92.32499694824219,92.2531967163086,92.2750015258789,4995
2026-04-16 14:26:00+00:00,92.3499984741211,92.5,92.34500122070312,92.34989929199219,15618
2026-04-16 14:27:00+00:00,92.44000244140625,92.51499938964844,92.40499877929688,92.44999694824219,9543
2026-04-16 14:28:00+00:00,92.6050033569336,92.64710235595703,92.56990051269531,92.58989715576172,9923
2026-04-16 14:29:00+00:00,92.54499816894531,92.54499816894531,92.29499816894531,92.30950164794922,6040
2026-04-16 14:30:00+00:00,92.25499725341797,92.34010314941406,92.2300033569336,92.33499908447266,4615
2026-04-16 14:31:00+00:00,92.45980072021484,92.45980072021484,92.36000061035156,92.44999694824219,14634
2026-04-16 14:32:00+00:00,92.41999816894531,92.41999816894531,92.31999969482422,92.38990020751953,5457
2026-04-16 14:33:00+00:00,92.5,92.5,92.45999908447266,92.4800033569336,1968
2026-04-16 14:34:00+00:00,92.5199966430664,92.63999938964844,92.47010040283203,92.61000061035156,8974
2026-04-16 14:35:00+00:00,92.62699890136719,92.66000366210938,92.48999786376953,92.59500122070312,10772
2026-04-16 14:36:00+00:00,92.62000274658203,92.66500091552734,92.56999969482422,92.62999725341797,13784
2026-04-16 14:37:00+00:00,92.69999694824219,92.7699966430664,92.63999938964844,92.71019744873047,21206
2026-04-16 14:38:00+00:00,92.73500061035156,92.80999755859375,92.72319793701172,92.74500274658203,20764
2026-04-16 14:39:00+00:00,92.83999633789062,92.9000015258789,92.7249984741211,92.7249984741211,21265
2026-04-16 14:40:00+00:00,92.69999694824219,92.76000213623047,92.66999816894531,92.68299865722656,12582
2026-04-16 14:41:00+00:00,92.76000213623047,92.7699966430664,92.54499816894531,92.55500030517578,12695
2026-04-16 14:42:00+00:00,92.51499938964844,92.54000091552734,92.43009948730469,92.5,11644
2026-04-16 14:43:00+00:00,92.5,92.66000366210938,92.5,92.63999938964844,5748
2026-04-16 14:44:00+00:00,92.63999938964844,92.75,92.62000274658203,92.74500274658203,4124
2026-04-16 14:45:00+00:00,92.76000213623047,93.0093002319336,92.73999786376953,93.0093002319336,37024
2026-04-16 14:46:00+00:00,93.00969696044922,93.04000091552734,92.93000030517578,92.93499755859375,13321
2026-04-16 14:47:00+00:00,92.89949798583984,93.0999984741211,92.89949798583984,93.0999984741211,19703
2026-04-16 14:48:00+00:00,93.10009765625,93.21040344238281,93.04000091552734,93.16999816894531,16217
2026-04-16 14:49:00+00:00,93.19000244140625,93.23799896240234,93.12000274658203,93.22000122070312,30967
2026-04-16 14:50:00+00:00,93.2249984741211,93.2249984741211,93.08999633789062,93.11000061035156,16578
2026-04-16 14:51:00+00:00,93.09989929199219,93.2249984741211,93.09989929199219,93.2249984741211,11438
2026-04-16 14:52:00+00:00,93.23999786376953,93.28990173339844,93.04000091552734,93.04019927978516,21444
2026-04-16 14:53:00+00:00,93.06999969482422,93.19499969482422,92.99030303955078,93.1500015258789,13567
2026-04-16 14:54:00+00:00,93.20010375976562,93.40519714355469,93.20010375976562,93.38970184326172,21920
2026-04-16 14:55:00+00:00,93.36869812011719,93.37000274658203,93.2699966430664,93.29000091552734,22075
2026-04-16 14:56:00+00:00,93.16999816894531,93.33000183105469,93.1500015258789,93.30000305175781,13815
2026-04-16 14:57:00+00:00,93.3280029296875,93.52999877929688,93.31500244140625,93.45999908447266,24542
2026-04-16 14:58:00+00:00,93.44999694824219,93.54000091552734,93.44000244140625,93.54000091552734,16499
2026-04-16 14:59:00+00:00,93.54989624023438,93.55590057373047,93.50499725341797,93.53900146484375,9263
2026-04-16 15:00:00+00:00,93.52989959716797,93.88999938964844,93.5,93.87999725341797,40908
2026-04-16 15:01:00+00:00,93.87960052490234,93.9000015258789,93.75990295410156,93.76000213623047,27261
2026-04-16 15:02:00+00:00,93.76000213623047,93.79000091552734,93.6449966430664,93.72010040283203,17944
