run_name,changed_parameter,changed_value,score,final_account_equity,real_final_assets,total_invested_cash,profit_on_invested_cash,return_on_invested_cash,return_on_initial_cash,buy_hold_return,benchmark_initial_assets,benchmark_invested_assets,max_drawdown,real_asset_max_drawdown,benchmark_initial_max_drawdown,trades,win_rate,commissions,final_cash,final_shares,final_position_value,harvested_cash,subsidized_cash,net_external_cash_flow,planned_buys,submitted_buys,skipped_buys,planned_sells,submitted_sells,skipped_sells
zones.deep.price_multiple=0.4,zones.deep.price_multiple,0.4,64.56705997302893,25704.62804167006,36204.62804167006,18000.0,18204.62804167006,101.13682245372257,262.0462804167006,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.95352289394903,-69.89439531730727,492,55.894308943089435,710.9050607545704,10126.72500879577,152.10199999999998,15544.823935821532,10500.0,8000.0,2500.0,259,253,6,289,266,23
zones.deep.price_multiple=0.5,zones.deep.price_multiple,0.5,65.49033220559895,25868.098248920072,36368.09824892007,18000.0,18368.09824892007,102.04499027177816,263.6809824892007,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.93464237580599,-69.89439531730727,492,55.894308943089435,711.2313496745995,10126.736923318094,153.69799999999998,15707.935130950927,10500.0,8000.0,2500.0,259,253,6,289,266,23
zones.deep.price_multiple=0.6,zones.deep.price_multiple,0.6,52.83313233965774,24266.0843129346,34766.0843129346,18000.0,16766.084312934603,93.14491284963668,247.660843129346,209.6031570579473,30960.31570579473,55728.56827043051,-54.088760573750186,-37.49253549403614,-69.89439531730727,491,55.193482688391036,703.09767832975,10126.737157035968,138.05599999999998,14109.322778686525,10500.0,8000.0,2500.0,258,252,6,291,266,25
zones.mid.buy_shares=10,zones.mid.buy_shares,10,49.44592435222866,16145.987892582252,25145.987892582252,13000.0,12145.987892582252,93.43067609678654,151.45987892582252,209.6031570579473,30960.31570579473,40248.410417533145,-59.546544717708215,-41.59430350127029,-69.89439531730727,435,51.03448275862069,568.3201300236437,5904.137810463266,100.00099999999998,10220.101894821166,9000.0,3000.0,6000.0,259,256,3,289,224,65
zones.mid.buy_shares=15,zones.mid.buy_shares,15,57.39434451399838,20375.619798578708,31375.619798578708,16000.0,15375.619798578708,96.09762374111692,213.75619798578705,209.6031570579473,30960.31570579473,49536.505129271565,-54.268163265075906,-36.0620582176292,-69.89439531730727,432,53.24074074074075,674.6160038505021,9621.784750704244,105.0,10730.999679565432,11000.0,6000.0,5000.0,259,259,0,289,257,32
zones.mid.buy_shares=20,zones.mid.buy_shares,20,65.49033220559895,25868.098248920072,36368.09824892007,18000.0,18368.09824892007,102.04499027177816,263.6809824892007,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.93464237580599,-69.89439531730727,492,55.894308943089435,711.2313496745995,10126.736923318094,153.69799999999998,15707.935130950927,10500.0,8000.0,2500.0,259,253,6,289,266,23
zones.mid.buy_shares=25,zones.mid.buy_shares,25,60.031586822744835,29524.53597769851,40024.53597769851,20000.0,20024.535977698513,100.12267988849257,300.24535977698514,209.6031570579473,30960.31570579473,61920.63141158946,-53.74818038723318,-36.80182123537637,-69.89439531730727,486,55.55555555555556,733.8873916824531,9305.175320684955,197.42100000000005,20176.42559751893,10500.0,10000.0,500.0,259,243,16,289,270,19
zones.mid.sell_shares=10,zones.mid.sell_shares,10,80.60426634379617,34736.02567788487,43736.02567788487,20000.0,23736.02567788487,118.68012838942437,337.36025677884874,209.6031570579473,30960.31570579473,61920.63141158946,-45.748404860222,-35.90772634197976,-69.89439531730727,492,55.487804878048784,694.0497493097287,6020.725663143927,280.375,28654.324144363407,9000.0,10000.0,-1000.0,259,247,12,289,272,17
zones.mid.sell_shares=15,zones.mid.sell_shares,15,65.49033220559895,25868.098248920072,36368.09824892007,18000.0,18368.09824892007,102.04499027177816,263.6809824892007,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.93464237580599,-69.89439531730727,492,55.894308943089435,711.2313496745995,10126.736923318094,153.69799999999998,15707.935130950927,10500.0,8000.0,2500.0,259,253,6,289,266,23
zones.mid.sell_shares=20,zones.mid.sell_shares,20,52.84852664600414,21607.164800422335,32607.164800422335,17000.0,15607.164800422335,91.80685176719021,226.07164800422333,209.6031570579473,30960.31570579473,52632.536699851036,-52.8903560417018,-36.475317391057146,-69.89439531730727,488,54.30327868852459,729.2444460605241,10853.227335071235,105.00099999999998,10731.101879562377,11000.0,7000.0,4000.0,259,256,3,289,259,30
cash_rules.harvest.cash_threshold=4000,cash_rules.harvest.cash_threshold,4000,59.65439380285481,25646.435447969972,37146.43544796997,19000.0,18146.43544796997,95.50755498931562,271.4643544796997,209.6031570579473,30960.31570579473,58824.59984100998,-51.63050889487239,-32.53382425935792,-69.89439531730727,430,57.20930232558139,708.3745788969303,10126.705541830877,151.534,15486.774337554933,11500.0,9000.0,2500.0,259,252,7,289,266,23
cash_rules.harvest.cash_threshold=5000,cash_rules.harvest.cash_threshold,5000,65.49033220559895,25868.098248920072,36368.09824892007,18000.0,18368.09824892007,102.04499027177816,263.6809824892007,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.93464237580599,-69.89439531730727,492,55.894308943089435,711.2313496745995,10126.736923318094,153.69799999999998,15707.935130950927,10500.0,8000.0,2500.0,259,253,6,289,266,23
cash_rules.harvest.cash_threshold=6000,cash_rules.harvest.cash_threshold,6000,69.03082099115765,27033.09590277074,37033.09590277074,18000.0,19033.095902770743,105.7394216820597,270.3309590277074,209.6031570579473,30960.31570579473,55728.56827043051,-53.341043499625385,-33.050489988721225,-69.89439531730727,416,57.692307692307686,716.1405368425976,10126.7357803157,165.07300000000004,16870.460096237188,10000.0,8000.0,2000.0,259,254,5,289,267,22
cash_rules.harvest.cash_threshold=8000,cash_rules.harvest.cash_threshold,8000,72.09990701482728,29551.563139630165,38051.56313963016,18000.0,20051.56313963016,111.39757299794533,280.5156313963016,209.6031570579473,30960.31570579473,55728.56827043051,-51.896747759295735,-36.27289553907364,-69.89439531730727,407,57.24815724815725,725.7790080672835,10126.757266439578,189.663,19383.55802119446,8500.0,8000.0,500.0,259,253,6,289,268,21
cash_rules.harvest.amount=300,cash_rules.harvest.amount,300,70.98030262882122,32162.46962037564,38462.46962037564,18000.0,20462.46962037564,113.68038677986468,284.6246962037564,209.6031570579473,30960.31570579473,55728.56827043051,-52.308343040730485,-39.87301942862172,-69.89439531730727,408,58.57843137254902,732.3433455324131,10326.756346928243,213.20299999999997,21789.34594935608,6300.0,8000.0,-1700.0,259,253,6,289,270,19
cash_rules.harvest.amount=500,cash_rules.harvest.amount,500,65.49033220559895,25868.098248920072,36368.09824892007,18000.0,18368.09824892007,102.04499027177816,263.6809824892007,209.6031570579473,30960.31570579473,55728.56827043051,-53.534720827672075,-32.93464237580599,-69.89439531730727,492,55.894308943089435,711.2313496745995,10126.736923318094,153.69799999999998,15707.935130950927,10500.0,8000.0,2500.0,259,253,6,289,266,23
cash_rules.harvest.amount=800,cash_rules.harvest.amount,800,44.57978662616793,18637.755654173005,35437.755654173,20000.0,15437.755654173001,77.18877827086501,254.37755654173003,209.6031570579473,30960.31570579473,61920.63141158946,-58.01804856085051,-27.956727415658722,-69.89439531730727,421,55.10688836104512,660.3116463030549,7371.833223066451,110.0,11241.999664306642,16800.0,10000.0,6800.0,259,251,8,289,259,30
cash_rules.harvest.amount=1000,cash_rules.harvest.amount,1000,34.01842181368713,15913.970105592123,34913.970105592125,21000.0,13913.970105592125,66.25700050281964,249.13970105592128,209.6031570579473,30960.31570579473,65016.662982168935,-61.47294931270299,-26.929986033239896,-69.89439531730727,469,53.94456289978679,615.3278294130405,5160.032640241041,105.00099999999998,10731.101879562377,19000.0,11000.0,8000.0,259,244,15,289,248,41
